71,6.3,2.5,4.9,1.5,2
103,6.5,2.0,5.8,2.2,3
28,4.7,3.2,1.6,0.2,1
131,6.4,2.8,5.6,2.2,3
77,3.0,2.9,4.5,1.5,2
129,7.4,2.8,6.1,1.9,3
54,5.7,2.8,4.5,1.3,2
23,4.8,3.4,1.9,0.2,1
68,5.6,2.5,3.9,1.1,2
79,5.5,2.4,3.8,1.1,2
89,5.5,2.6,4.4,1.2,2
9,5.4,3.7,1.5,0.2,1
26,5.2,3.5,1.5,0.2,1
106,7.3,2.9,6.3,1.8,3
141,5.8,2.7,5.1,1.9,3
20,5.1,3.7,1.5,0.4,1
111,6.8,2.0,5.5,2.1,3
35,5.5,3.5,1.3,0.2,1
112,5.7,2.5,5.0,3.0,3
139,6.7,3.1,5.6,2.4,3
15,5.4,3.9,1.3,0.4,1
16,5.1,3.5,1.4,0.3,1
123,6.7,3.3,5.7,2.1,3
74,6.6,2.0,4.4,1.4,2
83,5.4,2.0,4.5,1.5,2
127,6.4,2.8,5.6,2.1,3
13,5.8,3.0,1.2,0.2,1
128,7.2,2.0,5.8,1.6,3
113,5.8,2.8,5.1,2.4,3
14,5.7,4.4,1.5,0.4,1
133,6.1,2.6,5.6,1.4,3
96,6.2,2.9,4.3,1.3,2
33,4.9,3.1,1.5,0.1,1
29,4.8,3.1,1.6,0.2,1
125,6.2,2.8,4.8,1.8,3
27,5.2,3.4,1.4,0.2,1
132,6.3,2.8,5.1,1.5,3
122,6.3,2.7,4.9,1.8,3
12,4.3,2.0,1.1,0.1,1
145,6.3,2.5,5.0,1.9,3
126,6.1,2.0,4.9,1.8,3
48,2.0,3.3,1.4,0.2,1
138,6.9,3.1,5.4,2.1,3
124,7.2,3.2,6.0,1.8,3
109,6.5,3.2,5.1,3.0,3
76,6.7,2.0,5.0,1.7,2
52,5.5,2.3,4.0,1.3,2
73,6.4,2.9,4.3,1.3,2
30,5.4,3.4,1.5,0.4,1
55,6.3,3.3,4.7,1.6,2
67,6.2,2.2,4.5,1.5,2
91,5.8,2.6,4.0,1.2,2
75,6.8,2.8,4.8,1.4,2
65,5.6,2.0,4.5,1.5,2
130,7.9,3.8,6.4,3.0,3
19,5.4,3.4,1.7,0.2,1
120,5.6,2.8,4.9,3.0,3
148,5.9,2.0,5.1,1.8,3
4,5.4,3.9,1.7,0.4,1
5,4.6,3.4,1.4,0.3,1
